,t,alpha,N,I3_med,I3_q25,I3_q75,P_med,P_q25,P_q75,N2_med,N2_q25,N2_q75,Jrho_med,Jrho_q25,Jrho_q75,Jtot_med,Jtot_q25,Jtot_q75,frac_I3_suppressed_10pct,frac_I3_suppressed_1pct,frac_P_retained,frac_N2_retained,frac_pairwise_active_HOI_suppressed
0,0.1,0.0,400,0.0,0.0,7.810241911101935e-14,2.472802219999437,1.9309730554074849,3.4899204071764824,1.6845127594233285,1.4464639816990177,2.0388778987804193,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.88,1.0,1.0,0.88
1,0.1,0.1,400,0.010513650792250223,0.005401347661054448,0.016267184288772413,2.3092835765501487,1.8135959450696957,3.2529897650727206,1.6307483635532127,1.3954520889803617,1.979561327522347,0.15201831428025556,0.0731965472353033,0.2811807560434709,0.15444721916763376,0.11293065214543893,0.19022982245991796,0.8475,0.42,1.0,1.0,0.8475
2,0.1,0.2,400,0.0548215553483449,0.03899118195770493,0.0793898806652435,2.1058847526947577,1.6535011554358559,2.9601885358611497,1.5681127065730185,1.3386828673245768,1.9008893502431519,0.3115119696500265,0.15854782962464353,0.5944075531097389,0.33188217266285175,0.23581512252561349,0.42671982227744065,0.715,0.055,1.0,1.0,0.715
3,0.1,0.30000000000000004,400,0.13708532747197463,0.11112109936438319,0.2227923990319664,1.8809637571440871,1.4570611382935958,2.6312521247560117,1.475067662515925,1.2539967744149494,1.7955185022139653,0.4889311223424597,0.25820915259240285,0.9165822564058852,0.5226225611231993,0.36625996290491386,0.6848659602823564,0.1525,0.02,1.0,1.0,0.1525
4,0.1,0.4,400,0.26320943415645565,0.20869399896222884,0.47019005052242563,1.6648570931186337,1.2746284505222085,2.2378748083096482,1.3702432862363305,1.1493544013937762,1.6275341161910792,0.6411975212419017,0.3674980372961829,1.1772564212240244,0.7103389824009039,0.4949455887548083,0.9230654963609979,0.0675,0.01,1.0,1.0,0.0675
5,0.1,0.5,400,0.42223618309107425,0.2984419101536293,0.7654243796484008,1.4394504223176678,1.1089628209241091,1.9116603859490982,1.247121793911002,1.056325666864914,1.4934741360764932,0.7687065807820008,0.4861196148840713,1.3584651840254698,0.8772896019127774,0.6164193431913013,1.0872666979543082,0.02,0.005,0.965,1.0,0.02
6,0.1,0.6000000000000001,400,0.5527898879863256,0.37766584439125983,1.0077122792289712,1.2540851300098292,0.9562640395658994,1.5924945236070138,1.1383536949422242,0.9634648961893191,1.336430010787595,0.8617081257662704,0.5855199152067775,1.425583636444273,0.9775227507086348,0.7273760555583416,1.1682625533853654,0.005,0.005,0.8975,0.95,0.005
7,0.1,0.7000000000000001,400,0.6178223816799817,0.455380301064139,1.1325320582890497,1.1315020230704134,0.7605021399812106,1.3460058561793578,1.0627594333961095,0.8670093114750415,1.2083756620959418,0.9277273873149758,0.6990640481728432,1.360338826193744,1.006354620204668,0.823586354096727,1.1673729848964673,0.0025,0.0025,0.8525,0.9475,0.0025
8,0.1,0.8,400,0.7426215004556501,0.5703193681282838,1.16740156843095,1.0572040439398775,0.7449568194631391,1.1908631891471955,1.0216383729879843,0.8913037158858412,1.121187249440992,0.9506271772183292,0.7909745846084814,1.2544090972340394,1.0160574219889278,0.9007752649712181,1.122292057629957,0.01,0.005,0.8875,1.0,0.01
9,0.1,0.9,400,0.8713888528189502,0.7499121708885321,1.0845122990060863,1.0151309682492724,0.8315648702432807,1.0784198408138477,1.0056301275915298,0.9404270038837078,1.0495855336373703,0.9698527652229906,0.8883213103262229,1.1072193038623597,1.0111813702426788,0.9593451862936437,1.0617825824369083,0.01,0.0075,1.0,1.0,0.01
10,0.1,1.0,400,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
11,0.15,0.0,400,0.0,0.0,0.0,2.3392692621152493,1.801405737025339,3.5320550187430317,1.5724846034385118,1.3401328714375211,1.9962417275595326,0.0,0.0,0.0,0.0,0.0,0.0,0.9525,0.9525,1.0,1.0,0.9525
12,0.15,0.1,400,0.021434702342279077,0.013761285416649388,0.04273907742616543,2.2511076643845964,1.718362502084142,3.3607712441701194,1.5442637514831876,1.313316718568475,1.9684276992937146,0.15671677137762713,0.07097793925617886,0.3148469310402867,0.15444721916763376,0.11293065214543893,0.19022982245991796,0.88,0.125,1.0,1.0,0.88
13,0.15,0.2,400,0.10118489687908219,0.06512156886418838,0.19512553710826966,2.1187815108420356,1.598962683813224,3.1503287293359317,1.5005005564351879,1.2831164664378847,1.9090229126101572,0.32677793876694305,0.15796327168022245,0.6315984922715903,0.33188217266285175,0.23581512252561349,0.42671982227744065,0.475,0.005,1.0,1.0,0.475
14,0.15,0.30000000000000004,400,0.2455809817039308,0.16336925150519543,0.46918380720685876,1.9042634860837477,1.4731318690198638,2.8565441139877783,1.4291585455564026,1.2251199649547844,1.826076236579003,0.5046825924899072,0.2596784403097345,0.9593335740432174,0.5226225611231993,0.36625996290491386,0.6848659602823564,0.075,0.0,1.0,1.0,0.075
15,0.15,0.4,400,0.44942542435201477,0.3021021851740178,0.8540737132347286,1.6915388146959134,1.290047013761649,2.4930502110353854,1.3343603306316347,1.1370330542416283,1.7187176194683016,0.6676714482384438,0.3615542765988627,1.2241144379368278,0.7103389824009039,0.4949455887548083,0.9230654963609979,0.015,0.0,1.0,1.0,0.015
16,0.15,0.5,400,0.6699752227770439,0.43477634000316145,1.3031299743989653,1.4720459742450314,1.1299283708741141,2.088797283549388,1.2441129538348648,1.0549697617601115,1.5491772039371234,0.8037031817567469,0.475426478374423,1.406770710972389,0.8772896019127774,0.6164193431913013,1.0872666979543082,0.0,0.0,0.9825,1.0,0.0
17,0.15,0.6000000000000001,400,0.8266984657496017,0.5342793116733527,1.594456370508854,1.2938683232236965,1.027692156155893,1.7156378959808918,1.146654909279963,1.0098337301090976,1.3950951317524223,0.8960857705289416,0.5900117472403806,1.4788952301073008,0.9775227507086348,0.7273760555583416,1.1682625533853654,0.0,0.0,0.9175,0.96,0.0
18,0.15,0.7000000000000001,400,0.8840178894706003,0.5991538312212397,1.6796960331711475,1.1528762074197414,0.831269188169537,1.4306826200261955,1.0751541956866193,0.9176021749051155,1.237566519255916,0.9505123616506614,0.6973013473957472,1.413771435699199,1.006354620204668,0.823586354096727,1.1673729848964673,0.0,0.0,0.8725,0.935,0.0
19,0.15,0.8,400,0.912457520578236,0.6752507908935654,1.3803538901845145,1.0596211582334192,0.8006476668907749,1.2227570058550008,1.0290525283162848,0.9238427321512082,1.1282424829584017,0.9690230208201281,0.7961272450614815,1.310229677260645,1.0160574219889278,0.9007752649712181,1.122292057629957,0.0,0.0,0.8775,1.0,0.0
20,0.15,0.9,400,0.9236140497982505,0.7952840153528473,1.16027030038485,1.0163272644146295,0.8451561266944131,1.0882458445492358,1.0065536562069086,0.952288891731671,1.052864576083515,0.9858299991602986,0.8908790845476913,1.1329947110817853,1.0111813702426788,0.9593451862936437,1.0617825824369083,0.0025,0.0025,1.0,1.0,0.0025
21,0.15,1.0,400,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
22,0.25,0.0,400,0.0,0.0,0.0,2.172595040087252,1.546828162447682,3.300443116610388,1.3235134871381136,1.1156876902046133,1.7680697715979283,0.0,0.0,0.0,0.0,0.0,0.0,0.8275,0.8275,1.0,1.0,0.8275
23,0.25,0.1,400,0.03148024248553799,0.019379264883492155,0.05729139789783966,2.1432569366729286,1.5405823499047184,3.2569840403303694,1.3137639614537486,1.103717538389181,1.7734268264487856,0.17263874381454591,0.07017314429052987,0.36454244897295296,0.15444721916763376,0.11293065214543893,0.19022982245991796,0.71,0.025,1.0,1.0,0.71
24,0.25,0.2,400,0.13951103649147636,0.08341685591255102,0.24736039436463914,2.0627632233402746,1.5043505853127546,3.22391199116683,1.3051550024804697,1.0822628702093893,1.7719987108661188,0.3523254333579086,0.15164202889787823,0.7068266613058077,0.33188217266285175,0.23581512252561349,0.42671982227744065,0.275,0.0,1.0,1.0,0.275
25,0.25,0.30000000000000004,400,0.3284954503937363,0.2045794858771345,0.5938416035027831,1.905355399176555,1.4115946077859411,3.091898211465847,1.2844379622504039,1.0678070007237848,1.7519821505769682,0.5366027419310502,0.24859492142095402,0.9702350181103074,0.5226225611231993,0.36625996290491386,0.6848659602823564,0.0475,0.0,1.0,1.0,0.0475
26,0.25,0.4,400,0.5625658604389829,0.35526665685210324,1.0225792520736863,1.7092231045310644,1.2626980414660292,2.710262428870407,1.2329821193883062,1.0424244216231906,1.7137823017433254,0.7005233061497305,0.3413012320708979,1.1983275395793478,0.7103389824009039,0.4949455887548083,0.9230654963609979,0.0,0.0,1.0,1.0,0.0
27,0.25,0.5,400,0.767785700115361,0.5073374623806739,1.3411437618538666,1.4870030180522962,1.0980232716147325,2.2855920963380876,1.1494679181721317,1.0113482934759952,1.5976986537115418,0.8239393122223553,0.43913119050950417,1.3539030774754857,0.8772896019127774,0.6164193431913013,1.0872666979543082,0.0,0.0,0.995,1.0,0.0
28,0.25,0.6000000000000001,400,0.8234122109385215,0.5773130109417207,1.486589865062098,1.2876497847854202,1.0102280486391007,1.8358134401119082,1.0778587214888398,0.9927897314240568,1.473130235178156,0.9032432499731048,0.541816325205597,1.3844980745342297,0.9775227507086348,0.7273760555583416,1.1682625533853654,0.0,0.0,0.93,0.9725,0.0
29,0.25,0.7000000000000001,400,0.8396162045890003,0.5931020423684964,1.42022970286031,1.1396179322116646,0.8591442737948612,1.4767207647623402,1.0376987752409956,0.9857397565007096,1.275209389102888,0.9498238481402921,0.6453388375969511,1.3526149358769048,1.006354620204668,0.823586354096727,1.1673729848964673,0.0,0.0,0.8775,0.93,0.0
30,0.25,0.8,400,0.878888875291792,0.6650292860441545,1.2010358462323083,1.0527880369488356,0.8442191002928374,1.2631948676805667,1.0135981013201714,0.9516227707279101,1.1371919240460717,0.9652607782049717,0.750885789884284,1.2497425513345592,1.0160574219889278,0.9007752649712181,1.122292057629957,0.025,0.0125,0.885,0.9575,0.025
31,0.25,0.9,400,0.9200691102604754,0.7987025710533381,1.063441510458925,1.0116582497862252,0.8846001054926546,1.1019305849266794,1.00197401818362,0.9397760069181234,1.05598823400471,0.9866975541055414,0.8702712572092959,1.1285280590889502,1.0111813702426788,0.9593451862936437,1.0617825824369083,0.0275,0.02,0.985,0.99,0.0275
32,0.25,1.0,400,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
