,t,metric,pearson_with_I3max,spearman_with_I3max
0,0.1,rho_J_rho_exp_I3,0.6419060003782568,0.6244897959183673
1,0.1,r_J_tot_I3,0.6418498444988064,0.6235294117647059
2,0.1,rho_J_tot_I3,0.6200111326367336,0.6130612244897959
3,0.1,r_J_rho_exp_I3,0.6041616265952621,0.5827130852340937
4,0.1,rho_eta_I3,0.5357425560004292,0.4773589435774309
5,0.1,r_eta_I3,0.5291145758873652,0.4899399759903961
6,0.1,r_P_pair_I3,0.3473641497313903,0.3323409363745498
7,0.1,rho_P_pair_I3,0.34325670467231617,0.3230252100840336
8,0.1,r_N_pair_sum_I3,0.2719712738911661,0.23649459783913568
9,0.1,rho_N_pair_sum_I3,0.24875993107102534,0.20806722689075627
10,0.15,rho_J_tot_I3,0.6228870241777523,0.6481152460984393
11,0.15,r_J_tot_I3,0.6222077551284444,0.6371668667466986
12,0.15,rho_J_rho_exp_I3,0.6200865457250629,0.5989435774309724
13,0.15,r_J_rho_exp_I3,0.5822730847773655,0.5343097238895558
14,0.15,rho_eta_I3,0.5250786510140228,0.4902280912364946
15,0.15,r_eta_I3,0.49851009446425426,0.4523889555822329
16,0.15,r_P_pair_I3,0.41192128872830847,0.32254501800720287
17,0.15,rho_P_pair_I3,0.39386380977702906,0.322641056422569
18,0.15,r_N_pair_sum_I3,0.38101240405936915,0.2746218487394958
19,0.15,rho_N_pair_sum_I3,0.32676219784036536,0.2742376950780312
20,0.2,rho_J_tot_I3,0.5814279756335594,0.5829051620648259
21,0.2,r_J_tot_I3,0.5416946858275763,0.5413205282112845
22,0.2,rho_J_rho_exp_I3,0.5336983738737813,0.506938775510204
23,0.2,r_J_rho_exp_I3,0.49234540844763447,0.44797118847539014
24,0.2,rho_eta_I3,0.45758711549928793,0.4055222088835534
25,0.2,r_N_pair_sum_I3,0.44694439882554393,0.4466266506602641
26,0.2,r_P_pair_I3,0.44027832632198705,0.3848739495798319
27,0.2,rho_P_pair_I3,0.4168025784054858,0.3968787515006002
28,0.2,r_eta_I3,0.4127209981204243,0.36528211284513806
29,0.2,rho_N_pair_sum_I3,0.38314646567826566,0.4027370948379352
30,0.25,rho_J_tot_I3,0.5128665021665545,0.5137575030012005
31,0.25,r_P_pair_I3,0.4781979329860466,0.46180072028811525
32,0.25,rho_P_pair_I3,0.45317263763171206,0.44710684273709483
33,0.25,rho_J_rho_exp_I3,0.43714744596988536,0.4060984393757503
34,0.25,r_J_tot_I3,0.404511045414796,0.3766146458583433
35,0.25,r_J_rho_exp_I3,0.4003134427852838,0.3865066026410564
36,0.25,r_N_pair_sum_I3,0.38974290385171195,0.3995678271308523
37,0.25,rho_eta_I3,0.38655889632779106,0.3729651860744298
38,0.25,r_eta_I3,0.3552170391700934,0.35183673469387755
39,0.25,rho_N_pair_sum_I3,0.34741396963651294,0.3522208883553421
40,0.3,r_P_pair_I3,0.5286442389778357,0.5561104441776711
41,0.3,rho_P_pair_I3,0.4952348497984339,0.5137575030012005
42,0.3,rho_J_tot_I3,0.4737285092088613,0.45767106842737093
43,0.3,rho_J_rho_exp_I3,0.4197135325424146,0.42031212484993996
44,0.3,r_J_rho_exp_I3,0.37423468076601535,0.38516206482593035
45,0.3,rho_eta_I3,0.372780405106086,0.41848739495798315
46,0.3,r_eta_I3,0.35418291126209406,0.40984393757502996
47,0.3,r_J_tot_I3,0.2918151836970986,0.2276590636254502
48,0.3,r_N_pair_sum_I3,0.11057288226760444,0.10338535414165667
49,0.3,rho_N_pair_sum_I3,0.09856668193318056,0.08725090036014405
50,0.4,r_P_pair_I3,0.5729069819437526,0.6143097238895557
51,0.4,rho_P_pair_I3,0.5137015475279342,0.5557262905162065
52,0.4,rho_eta_I3,0.46100562379284793,0.4543097238895558
53,0.4,r_eta_I3,0.4372652835906787,0.464297719087635
54,0.4,rho_J_rho_exp_I3,0.42535330934720084,0.4087875150060023
55,0.4,r_J_rho_exp_I3,0.3632660604237058,0.35394957983193276
56,0.4,rho_J_tot_I3,0.237639231805392,0.23438175270108041
57,0.4,r_J_tot_I3,0.04086207881676945,0.04768307322929172
58,0.4,rho_N_pair_sum_I3,-0.3644207872582736,-0.3507803121248499
59,0.4,r_N_pair_sum_I3,-0.41352667507084084,-0.4057142857142857
60,0.5,r_P_pair_I3,0.6620350215229069,0.6535894357743097
61,0.5,rho_P_pair_I3,0.5983231235934617,0.5952941176470588
62,0.5,rho_eta_I3,0.506145724129606,0.44912364945978384
63,0.5,r_eta_I3,0.49000852147837753,0.45872749099639853
64,0.5,rho_J_rho_exp_I3,0.39255871745927773,0.3610564225690276
65,0.5,r_J_rho_exp_I3,0.344720679449031,0.32427370948379347
66,0.5,rho_J_tot_I3,-0.039725856492594934,-0.018007202881152456
67,0.5,r_J_tot_I3,-0.1511745531076225,-0.13747899159663865
68,0.5,rho_N_pair_sum_I3,-0.46771634453180244,-0.4773589435774309
69,0.5,r_N_pair_sum_I3,-0.5567656021888752,-0.5802160864345739
70,0.6,rho_P_pair_I3,0.3766137378462966,0.39908763505402156
71,0.6,r_P_pair_I3,0.36576209857177067,0.3612484993997599
72,0.6,rho_eta_I3,0.35173515754960416,0.38410564225690275
73,0.6,r_eta_I3,0.34732965039622177,0.3717166866746698
74,0.6,r_J_rho_exp_I3,0.29400601775475715,0.3250420168067227
75,0.6,rho_J_rho_exp_I3,0.27990063537087057,0.30391356542617043
76,0.6,r_J_tot_I3,-0.054959845322058526,-0.061896758703481394
77,0.6,rho_J_tot_I3,-0.08151569673606296,-0.06516206482593037
78,0.6,rho_N_pair_sum_I3,-0.20256428588607975,-0.1829051620648259
79,0.6,r_N_pair_sum_I3,-0.2733047934811925,-0.2786554621848739
80,0.7,rho_J_rho_exp_I3,0.17900325463197297,0.20192076830732295
81,0.7,r_J_rho_exp_I3,0.1333078474060644,0.17032412965186072
82,0.7,rho_eta_I3,0.12623832725658896,0.19788715486194475
83,0.7,r_eta_I3,0.11904945359781424,0.17176470588235296
84,0.7,r_J_tot_I3,0.0723840687563206,0.05546218487394958
85,0.7,rho_N_pair_sum_I3,0.05122498015039055,0.014453781512605042
86,0.7,r_N_pair_sum_I3,0.03704982740502989,-0.039615846338535404
87,0.7,rho_J_tot_I3,0.02722448124865314,0.027899159663865542
88,0.7,rho_P_pair_I3,-0.007448094602177446,0.028187274909963984
89,0.7,r_P_pair_I3,-0.009851604742471789,0.02280912364945978
90,0.8,rho_P_pair_I3,0.31944101374712425,0.29459783913565424
91,0.8,r_P_pair_I3,0.3138287781671239,0.2985354141656662
92,0.8,rho_J_tot_I3,0.1467272880855593,0.055078031212484994
93,0.8,rho_N_pair_sum_I3,0.13481444675710688,0.037118847539015606
94,0.8,r_N_pair_sum_I3,0.09576609050434114,0.01935174069627851
95,0.8,r_J_tot_I3,0.05466439143077527,-0.01666266506602641
96,0.8,rho_J_rho_exp_I3,0.04578611232283218,-0.020120048019207682
97,0.8,r_J_rho_exp_I3,-0.06555615534309658,-0.11625450180072029
98,0.8,rho_eta_I3,-0.0790233741895163,-0.15255702280912364
99,0.8,r_eta_I3,-0.10660184411447257,-0.1537094837935174
100,1.0,r_P_pair_I3,0.25790446024016406,0.23611044417767107
101,1.0,rho_P_pair_I3,0.2158949156429177,0.1598559423769508
102,1.0,rho_J_rho_exp_I3,0.0976978463347409,0.13171668667466988
103,1.0,rho_eta_I3,0.05600359078112988,0.08840336134453781
104,1.0,rho_J_tot_I3,0.0037835876798486268,-0.0114765906362545
105,1.0,r_eta_I3,-0.010629672832945572,0.013013205282112843
106,1.0,r_J_tot_I3,-0.017415229713562422,-0.07735894357743096
107,1.0,r_J_rho_exp_I3,-0.036995138613629235,0.016566626650660263
108,1.0,rho_N_pair_sum_I3,-0.1163324976576073,-0.20345738295318128
109,1.0,r_N_pair_sum_I3,-0.11636708700214035,-0.19740696278511405
